INFO 2025-09-14 21:22:43,862 basehttp "GET /admin/ HTTP/1.1" 200 10995
INFO 2025-09-14 21:22:44,346 basehttp "GET /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2025-09-14 21:22:44,379 basehttp "GET /admin/ HTTP/1.1" 200 10995
WARNING 2025-09-14 21:23:04,378 log Forbidden (CSRF token from POST incorrect.): /login/
WARNING 2025-09-14 21:23:04,380 basehttp "POST /login/ HTTP/1.1" 403 2503
INFO 2025-09-14 21:23:06,164 basehttp "GET /login/ HTTP/1.1" 302 0
INFO 2025-09-14 21:23:06,181 basehttp "GET /subjectspage/ HTTP/1.1" 302 0
INFO 2025-09-14 21:23:06,197 basehttp "GET /login/ HTTP/1.1" 302 0
INFO 2025-09-14 21:23:06,214 basehttp "GET /subjectspage/ HTTP/1.1" 302 0
INFO 2025-09-14 21:23:06,229 basehttp "GET /login/ HTTP/1.1" 302 0
INFO 2025-09-14 21:23:06,244 basehttp "GET /subjectspage/ HTTP/1.1" 302 0
INFO 2025-09-14 21:23:06,256 basehttp "GET /login/ HTTP/1.1" 302 0
INFO 2025-09-14 21:23:06,271 basehttp "GET /subjectspage/ HTTP/1.1" 302 0
INFO 2025-09-14 21:23:06,290 basehttp "GET /login/ HTTP/1.1" 302 0
INFO 2025-09-14 21:23:06,307 basehttp "GET /subjectspage/ HTTP/1.1" 302 0
INFO 2025-09-14 21:23:06,321 basehttp "GET /login/ HTTP/1.1" 302 0
INFO 2025-09-14 21:23:06,342 basehttp "GET /subjectspage/ HTTP/1.1" 302 0
INFO 2025-09-14 21:23:06,357 basehttp "GET /login/ HTTP/1.1" 302 0
INFO 2025-09-14 21:23:06,371 basehttp "GET /subjectspage/ HTTP/1.1" 302 0
INFO 2025-09-14 21:23:06,389 basehttp "GET /login/ HTTP/1.1" 302 0
INFO 2025-09-14 21:23:06,412 basehttp "GET /subjectspage/ HTTP/1.1" 302 0
INFO 2025-09-14 21:23:06,429 basehttp "GET /login/ HTTP/1.1" 302 0
INFO 2025-09-14 21:23:06,447 basehttp "GET /subjectspage/ HTTP/1.1" 302 0
INFO 2025-09-14 21:23:06,462 basehttp "GET /login/ HTTP/1.1" 302 0
INFO 2025-09-14 21:23:06,480 basehttp "GET /subjectspage/ HTTP/1.1" 302 0
INFO 2025-09-14 21:23:07,565 basehttp "GET /subjectspage/ HTTP/1.1" 302 0
INFO 2025-09-14 21:23:07,581 basehttp "GET /login/ HTTP/1.1" 302 0
INFO 2025-09-14 21:23:07,594 basehttp "GET /subjectspage/ HTTP/1.1" 302 0
INFO 2025-09-14 21:23:07,605 basehttp "GET /login/ HTTP/1.1" 302 0
INFO 2025-09-14 21:23:07,619 basehttp "GET /subjectspage/ HTTP/1.1" 302 0
INFO 2025-09-14 21:23:07,631 basehttp "GET /login/ HTTP/1.1" 302 0
INFO 2025-09-14 21:23:07,647 basehttp "GET /subjectspage/ HTTP/1.1" 302 0
INFO 2025-09-14 21:23:07,658 basehttp "GET /login/ HTTP/1.1" 302 0
INFO 2025-09-14 21:23:07,668 basehttp "GET /subjectspage/ HTTP/1.1" 302 0
INFO 2025-09-14 21:23:07,678 basehttp "GET /login/ HTTP/1.1" 302 0
INFO 2025-09-14 21:23:07,691 basehttp "GET /subjectspage/ HTTP/1.1" 302 0
INFO 2025-09-14 21:23:07,702 basehttp "GET /login/ HTTP/1.1" 302 0
INFO 2025-09-14 21:23:07,715 basehttp "GET /subjectspage/ HTTP/1.1" 302 0
INFO 2025-09-14 21:23:07,729 basehttp "GET /login/ HTTP/1.1" 302 0
INFO 2025-09-14 21:23:07,746 basehttp "GET /subjectspage/ HTTP/1.1" 302 0
INFO 2025-09-14 21:23:07,763 basehttp "GET /login/ HTTP/1.1" 302 0
INFO 2025-09-14 21:23:07,780 basehttp "GET /subjectspage/ HTTP/1.1" 302 0
INFO 2025-09-14 21:23:07,800 basehttp "GET /login/ HTTP/1.1" 302 0
